sd_size	sd_par_size	min_size_dif	sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_patt	avg_patt_thr	avg_par_size	avg_par_patt	end_gen
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.027280	0.023720	10.000000	13.776026	10.000000	10.801697	10.000204	11.999532	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016510	0.032943	10.000000	12.381260	10.000000	10.892548	10.000330	11.999540	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.023407	0.026587	10.000000	11.732901	10.000000	10.840259	9.999588	12.000071	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.021657	0.028463	10.000000	12.508319	10.000000	10.849313	9.999798	12.000511	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016150	0.033850	10.000000	11.634059	10.000000	10.900214	10.000355	12.000797	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.021250	0.027683	10.000000	13.343503	10.000000	10.848896	9.999836	12.000126	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.015507	0.035317	10.000000	11.580603	10.000000	10.913107	9.999978	11.999994	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.028103	0.023537	10.000000	11.503988	10.000000	10.804781	9.999866	12.000158	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020657	0.028870	10.000000	12.121261	10.000000	10.856600	9.999996	11.999996	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.021057	0.027990	10.000000	14.376925	10.000000	10.849946	9.999853	11.999823	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020740	0.028170	10.000000	13.323123	10.000000	10.850413	10.000517	11.999747	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.021277	0.028497	10.000000	12.161983	10.000000	10.853597	9.999934	11.999394	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.019153	0.029713	10.000000	11.549233	10.000000	10.867510	10.000077	12.000326	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020073	0.029037	10.000000	11.700460	10.000000	10.858830	9.999842	12.000766	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.015470	0.034583	10.000000	12.349098	10.000000	10.906065	10.000283	11.999726	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.024697	0.025607	10.000000	12.359671	10.000000	10.824923	9.999192	12.000198	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020787	0.027803	10.000000	12.135821	10.000000	10.851515	10.000555	11.999556	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.023930	0.024867	10.000000	12.728185	10.000000	10.827623	9.999564	12.000653	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.026700	0.024107	10.000000	11.970626	10.000000	10.809002	9.999962	11.999308	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.011220	0.041593	10.000000	13.601901	10.000000	10.956774	10.000333	12.000034	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.017650	0.031843	10.000000	13.163480	10.000000	10.880143	10.000650	12.000203	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.015413	0.034243	10.000000	11.807197	10.000000	10.902414	9.999534	12.000127	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.019383	0.029567	10.000000	14.268032	10.000000	10.864613	9.999939	11.999961	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.021367	0.027433	10.000000	12.089832	10.000000	10.847828	10.000217	11.999873	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.019747	0.029367	10.000000	11.842887	10.000000	10.864449	9.999566	11.999782	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016730	0.032897	10.000000	11.801813	10.000000	10.891641	9.999640	12.000596	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016933	0.031870	10.000000	12.093294	10.000000	10.887469	10.000504	12.000521	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.024020	0.025827	10.000000	11.677747	10.000000	10.829279	10.000100	11.999645	2999
