sd_size	sd_par_size	min_size_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.416667	0.600000	1.000000	0.108507	0.185970	10.000000	10.464578	11.002495	2999
0.416667	0.600000	1.000000	0.104970	0.189467	10.000000	10.475417	11.002826	2999
0.416667	0.600000	1.000000	0.119660	0.174533	10.000000	10.443929	11.002884	2999
0.416667	0.600000	1.000000	0.091457	0.203930	10.000000	10.501863	11.002577	2999
0.416667	0.600000	1.000000	0.091847	0.202457	10.000000	10.502557	11.002536	2999
0.416667	0.600000	1.000000	0.108860	0.182703	10.000000	10.463002	11.002504	2999
0.416667	0.600000	1.000000	0.121657	0.173347	10.000000	10.437861	11.002596	2999
0.416667	0.600000	1.000000	0.094703	0.198230	10.000000	10.495080	11.002580	2999
0.416667	0.600000	1.000000	0.096133	0.196977	10.000000	10.492246	11.002750	2999
0.416667	0.600000	1.000000	0.110147	0.183370	10.000000	10.461370	11.002731	2999
0.416667	0.600000	1.000000	0.103443	0.189747	10.000000	10.475265	11.002802	2999
0.416667	0.600000	1.000000	0.089420	0.203453	10.000000	10.507933	11.002513	2999
0.416667	0.600000	1.000000	0.091403	0.202183	10.000000	10.502456	11.002344	2999
0.416667	0.600000	1.000000	0.093437	0.200140	10.000000	10.497870	11.002755	2999
0.416667	0.600000	1.000000	0.105263	0.188090	10.000000	10.471685	11.002485	2999
0.416667	0.600000	1.000000	0.090187	0.204547	10.000000	10.506117	11.002973	2999
0.416667	0.600000	1.000000	0.112730	0.181093	10.000000	10.455411	11.002388	2999
0.416667	0.600000	1.000000	0.091543	0.203007	10.000000	10.502521	11.002816	2999
0.416667	0.600000	1.000000	0.108747	0.185417	10.000000	10.464473	11.002612	2999
0.416667	0.600000	1.000000	0.089180	0.205157	10.000000	10.508389	11.002561	2999
0.416667	0.600000	1.000000	0.093397	0.200543	10.000000	10.496894	11.002236	2999
0.416667	0.600000	1.000000	0.089447	0.205163	10.000000	10.507084	11.002491	2999
0.416667	0.600000	1.000000	0.101467	0.192983	10.000000	10.481307	11.002999	2999
0.416667	0.600000	1.000000	0.087353	0.207720	10.000000	10.513660	11.003019	2999
0.416667	0.600000	1.000000	0.095447	0.201767	10.000000	10.496191	11.002601	2999
0.416667	0.600000	1.000000	0.085130	0.210140	10.000000	10.518758	11.002476	2999
0.416667	0.600000	1.000000	0.091613	0.202727	10.000000	10.501913	11.002399	2999
0.416667	0.600000	1.000000	0.088333	0.207270	10.000000	10.510327	11.002496	2999
0.416667	0.600000	1.000000	0.086247	0.209197	10.000000	10.516630	11.002778	2999
0.416667	0.600000	1.000000	0.102063	0.192063	10.000000	10.478765	11.002543	2999
0.416667	0.600000	1.000000	0.085523	0.209083	10.000000	10.518314	11.002892	2999
