sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.416667	0.600000	1.000000	0.085567	0.209010	10.000000	10.516865	11.002745	2999
0.416667	0.600000	1.000000	0.089697	0.204810	10.000000	10.506966	11.002647	2999
0.416667	0.600000	1.000000	0.114743	0.178960	10.000000	10.452020	11.002581	2999
0.416667	0.600000	1.000000	0.103680	0.190540	10.000000	10.475157	11.002569	2999
0.416667	0.600000	1.000000	0.105020	0.189840	10.000000	10.472729	11.002924	2999
0.416667	0.600000	1.000000	0.111057	0.183663	10.000000	10.459641	11.002801	2999
0.416667	0.600000	1.000000	0.120300	0.174357	10.000000	10.440959	11.002836	2999
0.416667	0.600000	1.000000	0.083670	0.211870	10.000000	10.522843	11.003086	2999
0.416667	0.600000	1.000000	0.071763	0.227873	10.000000	10.554231	11.002737	2999
0.416667	0.600000	1.000000	0.080803	0.214853	10.000000	10.530263	11.002871	2999
0.416667	0.600000	1.000000	0.113430	0.181620	10.000000	10.453373	11.002303	2999
0.416667	0.600000	1.000000	0.097803	0.196713	10.000000	10.490194	11.002850	2999
0.416667	0.600000	1.000000	0.085897	0.207393	10.000000	10.516825	11.002691	2999
0.416667	0.600000	1.000000	0.088857	0.205930	10.000000	10.510110	11.002827	2999
0.416667	0.600000	1.000000	0.108830	0.187107	10.000000	10.466953	11.002699	2999
0.416667	0.600000	1.000000	0.114883	0.180007	10.000000	10.453653	11.002708	2999
0.416667	0.600000	1.000000	0.085097	0.209667	10.000000	10.517777	11.002348	2999
0.416667	0.600000	1.000000	0.095107	0.198357	10.000000	10.495754	11.002797	2999
0.416667	0.600000	1.000000	0.100603	0.192220	10.000000	10.481883	11.002473	2999
0.416667	0.600000	1.000000	0.096977	0.197000	10.000000	10.491879	11.002843	2999
0.416667	0.600000	1.000000	0.072257	0.226883	10.000000	10.552972	11.002954	2999
0.416667	0.600000	1.000000	0.096423	0.198553	10.000000	10.493478	11.002575	2999
0.416667	0.600000	1.000000	0.100603	0.193283	10.000000	10.483058	11.002913	2999
0.416667	0.600000	1.000000	0.125903	0.171053	10.000000	10.429504	11.002570	2999
0.416667	0.600000	1.000000	0.081197	0.215193	10.000000	10.528644	11.002386	2999
0.416667	0.600000	1.000000	0.096143	0.197467	10.000000	10.490763	11.002136	2999
0.416667	0.600000	1.000000	0.114273	0.180410	10.000000	10.453344	11.002679	2999
0.416667	0.600000	1.000000	0.091633	0.203010	10.000000	10.503405	11.002887	2999
