mut_par_size	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.121557	0.656100	10.000000	10.172031	9.541870	2999
0.250000	0.075600	0.701530	10.000000	10.293525	9.576274	2999
0.250000	0.117970	0.658567	10.000000	10.179814	9.663751	2999
0.250000	0.096433	0.680477	10.000000	10.228774	9.637547	2999
0.250000	0.089937	0.687990	10.000000	10.250722	9.596178	2999
0.250000	0.087230	0.691367	10.000000	10.253692	9.646962	2999
0.250000	0.124467	0.651597	10.000000	10.167144	9.664958	2999
0.250000	0.121433	0.656403	10.000000	10.170363	9.629214	2999
0.250000	0.091243	0.685747	10.000000	10.244866	9.572299	2999
0.250000	0.093277	0.685253	10.000000	10.238478	9.649012	2999
0.250000	0.102887	0.674903	10.000000	10.215934	9.576342	2999
0.250000	0.125190	0.653927	10.000000	10.162773	9.620392	2999
0.250000	0.101060	0.674057	10.000000	10.221183	9.695703	2999
0.250000	0.132003	0.633750	10.000000	10.163681	9.776833	2999
0.250000	0.092470	0.685107	10.000000	10.240528	9.644925	2999
0.250000	0.112707	0.656673	10.000000	10.197777	9.748842	2999
0.250000	0.122920	0.627260	10.000000	10.197449	9.867413	2999
0.250000	0.136723	0.621620	10.000000	10.162320	9.819210	2999
0.250000	0.130320	0.634173	10.000000	10.166659	9.782486	2999
0.250000	0.127343	0.640167	10.000000	10.168548	9.755923	2999
0.250000	0.134397	0.643777	10.000000	10.142469	9.635953	2999
0.250000	0.152907	0.625817	10.000000	10.109697	9.662668	2999
0.250000	0.152340	0.590617	10.000000	10.148569	9.887888	2999
0.250000	0.127730	0.649613	10.000000	10.158052	9.654936	2999
0.250000	0.148933	0.623577	10.000000	10.123795	9.719709	2999
0.250000	0.130040	0.564270	10.000000	10.235686	10.076406	2999
0.250000	0.130633	0.646623	10.000000	10.155530	9.669850	2999
0.250000	0.127633	0.639527	10.000000	10.169130	9.758205	2999
0.250000	0.106007	0.670987	10.000000	10.206678	9.599441	2999
0.250000	0.151093	0.610373	10.000000	10.132077	9.794692	2999
0.250000	0.134553	0.623380	10.000000	10.165514	9.817181	2999
0.250000	0.086980	0.685967	10.000000	10.267465	9.529010	2999
0.250000	0.079303	0.699690	10.000000	10.280161	9.590047	2999
